"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-14,"SE",1,1,NA,NA,NA,NA,NA
"2",2020-03-16,"SE",5,2,NA,NA,NA,NA,NA
"3",2020-03-18,"SE",6,3,NA,NA,NA,NA,NA
"4",2020-03-20,"SE",7,4,NA,NA,NA,NA,NA
"5",2020-03-21,"SE",10,5,NA,NA,NA,NA,NA
"6",2020-03-24,"SE",15,6,NA,NA,NA,NA,NA
"7",2020-03-25,"SE",16,7,NA,NA,NA,NA,NA
"8",2020-03-27,"SE",16,8,NA,NA,NA,NA,NA
"9",2020-03-30,"SE",18,9,NA,NA,NA,NA,NA
"10",2020-03-31,"SE",19,10,NA,NA,NA,NA,NA
"11",2020-04-01,"SE",22,11,NA,NA,NA,NA,NA
"12",2020-04-02,"SE",24,12,NA,NA,NA,NA,NA
"13",2020-04-03,"SE",27,13,NA,NA,NA,NA,NA
"14",2020-04-04,"SE",32,14,NA,NA,NA,NA,NA
"15",2020-04-06,"SE",32,15,NA,NA,NA,NA,NA
"16",2020-04-07,"SE",36,16,NA,NA,NA,NA,NA
"17",2020-04-08,"SE",39,17,NA,NA,NA,NA,NA
"18",2020-04-09,"SE",40,18,NA,NA,NA,NA,NA
"19",2020-04-10,"SE",42,19,NA,NA,NA,NA,NA
"20",2020-04-11,"SE",44,20,NA,NA,NA,NA,NA
"21",2020-04-13,"SE",45,21,NA,NA,NA,NA,NA
"22",2020-04-14,"SE",46,22,NA,NA,NA,NA,NA
"23",2020-04-15,"SE",48,23,NA,NA,NA,NA,NA
"24",2020-04-16,"SE",53,24,NA,NA,NA,NA,NA
"25",2020-04-17,"SE",58,25,NA,NA,NA,NA,NA
"26",2020-04-18,"SE",71,26,NA,NA,NA,NA,NA
"27",2020-04-19,"SE",86,27,NA,NA,NA,NA,NA
"28",2020-04-20,"SE",92,28,NA,NA,NA,NA,NA
"29",2020-04-21,"SE",117,29,NA,NA,NA,NA,NA
"30",2020-04-22,"SE",118,30,NA,NA,NA,NA,NA
"31",2020-04-23,"SE",135,31,NA,NA,NA,NA,NA
"32",2020-04-24,"SE",145,32,NA,NA,NA,NA,NA
"33",2020-04-25,"SE",154,33,NA,NA,NA,NA,NA
"34",2020-04-26,"SE",175,34,NA,NA,NA,NA,NA
"35",2020-04-27,"SE",211,35,NA,NA,NA,NA,NA
"36",2020-04-28,"SE",280,36,NA,NA,NA,NA,NA
"37",2020-04-30,"SE",453,37,NA,NA,NA,NA,NA
"38",2020-05-01,"SE",517,38,NA,NA,NA,NA,NA
"39",2020-05-02,"SE",601,39,NA,NA,NA,NA,NA
"40",2020-05-03,"SE",730,40,NA,NA,NA,NA,NA
"41",2020-05-04,"SE",772,41,NA,NA,NA,NA,NA
"42",2020-05-05,"SE",898,42,NA,NA,NA,NA,NA
"43",2020-05-06,"SE",998,43,NA,NA,NA,NA,NA
"44",2020-05-07,"SE",1214,44,NA,NA,NA,NA,NA
"45",2020-05-08,"SE",1438,45,NA,NA,NA,NA,NA
"46",2020-05-09,"SE",1588,46,NA,NA,NA,NA,NA
"47",2020-05-10,"SE",1771,47,NA,NA,NA,NA,NA
"48",2020-05-11,"SE",1800,48,NA,NA,NA,NA,NA
"49",2020-05-12,"SE",2032,49,NA,NA,NA,NA,NA
"50",2020-05-13,"SE",2268,50,NA,NA,NA,NA,NA
"51",2020-05-14,"SE",2494,51,NA,NA,NA,NA,NA
"52",2020-05-15,"SE",2868,52,NA,NA,NA,NA,NA
"53",2020-05-16,"SE",3135,53,NA,NA,NA,NA,NA
"54",2020-05-17,"SE",3343,54,NA,NA,NA,NA,NA
"55",2020-05-18,"SE",3566,55,NA,NA,NA,NA,NA
"56",2020-05-19,"SE",3967,56,NA,NA,NA,NA,NA
"57",2020-05-20,"SE",4277,57,NA,NA,NA,NA,NA
"58",2020-05-21,"SE",4734,58,NA,NA,NA,NA,NA
"59",2020-05-22,"SE",4922,59,NA,NA,NA,NA,NA
"60",2020-05-23,"SE",5131,60,NA,NA,NA,NA,NA
"61",2020-05-24,"SE",5314,61,NA,NA,NA,NA,NA
"62",2020-05-25,"SE",5448,62,NA,NA,NA,NA,NA
"63",2020-05-26,"SE",5735,63,NA,NA,NA,NA,NA
"64",2020-05-27,"SE",5912,64,NA,NA,NA,NA,NA
"65",2020-05-28,"SE",6156,65,NA,NA,NA,NA,NA
"66",2020-05-29,"SE",6462,66,NA,NA,NA,NA,NA
"67",2020-05-30,"SE",6805,67,NA,NA,NA,NA,NA
"68",2020-05-31,"SE",6999,68,NA,NA,NA,NA,NA
"69",2020-06-01,"SE",7233,69,NA,NA,NA,NA,NA
"70",2020-06-02,"SE",7555,70,NA,NA,NA,NA,NA
"71",2020-06-03,"SE",7989,71,NA,NA,NA,NA,NA
"72",2020-06-04,"SE",8200,72,NA,NA,NA,NA,NA
"73",2020-06-05,"SE",8577,73,NA,NA,NA,NA,NA
"74",2020-06-06,"SE",8972,74,NA,NA,NA,NA,NA
"75",2020-06-07,"SE",9290,75,NA,NA,NA,NA,NA
"76",2020-06-08,"SE",9727,76,NA,NA,NA,NA,NA
"77",2020-06-09,"SE",10126,77,NA,NA,NA,NA,NA
"78",2020-06-10,"SE",10615,78,NA,NA,NA,NA,NA
"79",2020-06-11,"SE",11056,79,NA,NA,NA,NA,NA
"80",2020-06-12,"SE",11534,80,NA,NA,NA,NA,NA
"81",2020-06-13,"SE",12866,81,NA,NA,NA,NA,NA
"82",2020-06-14,"SE",13968,82,NA,NA,NA,NA,NA
"83",2020-06-15,"SE",15675,83,NA,NA,NA,NA,NA
"84",2020-06-16,"SE",16310,84,NA,NA,NA,NA,NA
"85",2020-06-17,"SE",16807,85,NA,NA,NA,NA,NA
"86",2020-06-18,"SE",17338,86,NA,NA,NA,NA,NA
"87",2020-06-19,"SE",17808,87,NA,NA,NA,NA,NA
"88",2020-06-20,"SE",18449,88,NA,NA,NA,NA,NA
"89",2020-06-21,"SE",18985,89,NA,NA,NA,NA,NA
"90",2020-06-22,"SE",19384,90,NA,NA,NA,NA,NA
"91",2020-06-23,"SE",19883,91,NA,NA,NA,NA,NA
"92",2020-06-24,"SE",20353,92,NA,NA,NA,NA,NA
"93",2020-06-25,"SE",21081,93,NA,NA,NA,NA,NA
"94",2020-06-26,"SE",21908,94,NA,NA,NA,NA,NA
"95",2020-06-27,"SE",23319,95,NA,NA,NA,NA,NA
"96",2020-06-28,"SE",24421,96,NA,NA,NA,NA,NA
"97",2020-06-29,"SE",24817,97,NA,NA,NA,NA,NA
"98",2020-06-30,"SE",25411,98,NA,NA,NA,NA,NA
"99",2020-07-01,"SE",26612,99,NA,NA,NA,NA,NA
"100",2020-07-02,"SE",26612,100,NA,NA,NA,NA,NA
"101",2020-07-03,"SE",28186,101,NA,NA,NA,NA,NA
"102",2020-07-04,"SE",29761,102,NA,NA,NA,NA,NA
"103",2020-07-05,"SE",30217,103,NA,NA,NA,NA,NA
"104",2020-07-06,"SE",30718,104,NA,NA,NA,NA,NA
"105",2020-07-07,"SE",31640,105,NA,NA,NA,NA,NA
"106",2020-07-08,"SE",32490,106,NA,NA,NA,NA,NA
"107",2020-07-09,"SE",33416,107,NA,NA,NA,NA,NA
"108",2020-07-10,"SE",34713,108,NA,NA,NA,NA,NA
"109",2020-07-11,"SE",36046,109,NA,NA,NA,NA,NA
"110",2020-07-12,"SE",37631,110,NA,NA,NA,NA,NA
"111",2020-07-13,"SE",38221,111,NA,NA,NA,NA,NA
"112",2020-07-14,"SE",39167,112,NA,NA,NA,NA,NA
"113",2020-07-15,"SE",40139,113,NA,NA,NA,NA,NA
"114",2020-07-16,"SE",41226,114,NA,NA,NA,NA,NA
"115",2020-07-17,"SE",41888,115,NA,NA,NA,NA,NA
"116",2020-07-18,"SE",43072,116,NA,NA,NA,NA,NA
"117",2020-07-19,"SE",45243,117,NA,NA,NA,NA,NA
"118",2020-07-20,"SE",46059,118,NA,NA,NA,NA,NA
"119",2020-07-21,"SE",47110,119,NA,NA,NA,NA,NA
"120",2020-07-22,"SE",48140,120,NA,NA,NA,NA,NA
"121",2020-07-23,"SE",49397,121,NA,NA,NA,NA,NA
"122",2020-07-24,NA,NA,122,50532.2912132937,50169.7091361127,50894.8732904747,49977.7697786353,51086.8126479521
"123",2020-07-25,NA,NA,123,51667.5824265874,51103.461300693,52231.7035524818,50804.8336153826,52530.3312377922
"124",2020-07-26,NA,NA,124,52802.8736398811,52047.9005892507,53557.8466905115,51648.2419978019,53957.5052819603
"125",2020-07-27,NA,NA,125,53938.1648531748,52991.378493217,54884.9512131325,52490.1800693691,55386.1496369805
"126",2020-07-28,NA,NA,126,55073.4560664685,53930.1378174373,56216.7743154996,53324.9016959573,56822.0104369796
"127",2020-07-29,NA,NA,127,56208.7472797621,54862.6475100977,57554.8470494266,54150.0653358804,58267.4292236438
"128",2020-07-30,NA,NA,128,57344.0384930558,55788.2390244266,58899.8379616851,54964.6485350841,59723.4284510276
"129",2020-07-31,NA,NA,129,58479.3297063495,56706.6361429065,60252.0232697925,55768.2288553293,61190.4305573697
"130",2020-08-01,NA,NA,130,59614.6209196432,57617.7584554354,61611.483383851,56560.6833199774,62668.558519309
"131",2020-08-02,NA,NA,131,60749.9121329369,58521.62863637,62978.1956295038,57342.0466064646,64157.7776594092
"132",2020-08-03,NA,NA,132,61885.2033462306,59418.3249439945,64352.0817484667,58112.4384005081,65657.9682919531
"133",2020-08-04,NA,NA,133,63020.4945595243,60307.9554366328,65733.0336824158,58872.0239630532,67168.9651559953
"134",2020-08-05,NA,NA,134,64155.785772818,61190.6433938279,67120.928151808,59620.9918338911,68690.5797117449
"135",2020-08-06,NA,NA,135,65291.0769861117,62066.5188433529,68515.6351288704,60359.5408733398,70222.6130988836
