"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-12,"RN",0,1,NA,NA,NA,NA,NA
"2",2020-03-13,"RN",0,2,NA,NA,NA,NA,NA
"3",2020-03-16,"RN",0,3,NA,NA,NA,NA,NA
"4",2020-03-18,"RN",0,4,NA,NA,NA,NA,NA
"5",2020-03-20,"RN",0,5,NA,NA,NA,NA,NA
"6",2020-03-21,"RN",0,6,NA,NA,NA,NA,NA
"7",2020-03-22,"RN",0,7,NA,NA,NA,NA,NA
"8",2020-03-24,"RN",0,8,NA,NA,NA,NA,NA
"9",2020-03-25,"RN",0,9,NA,NA,NA,NA,NA
"10",2020-03-26,"RN",0,10,NA,NA,NA,NA,NA
"11",2020-03-27,"RN",0,11,NA,NA,NA,NA,NA
"12",2020-03-28,"RN",1,12,NA,NA,NA,NA,NA
"13",2020-03-30,"RN",1,13,NA,NA,NA,NA,NA
"14",2020-03-31,"RN",1,14,NA,NA,NA,NA,NA
"15",2020-04-01,"RN",2,15,NA,NA,NA,NA,NA
"16",2020-04-02,"RN",2,16,NA,NA,NA,NA,NA
"17",2020-04-03,"RN",4,17,NA,NA,NA,NA,NA
"18",2020-04-04,"RN",6,18,NA,NA,NA,NA,NA
"19",2020-04-05,"RN",7,19,NA,NA,NA,NA,NA
"20",2020-04-07,"RN",8,20,NA,NA,NA,NA,NA
"21",2020-04-08,"RN",11,21,NA,NA,NA,NA,NA
"22",2020-04-10,"RN",11,22,NA,NA,NA,NA,NA
"23",2020-04-11,"RN",13,23,NA,NA,NA,NA,NA
"24",2020-04-12,"RN",17,24,NA,NA,NA,NA,NA
"25",2020-04-13,"RN",18,25,NA,NA,NA,NA,NA
"26",2020-04-14,"RN",19,26,NA,NA,NA,NA,NA
"27",2020-04-15,"RN",20,27,NA,NA,NA,NA,NA
"28",2020-04-16,"RN",23,28,NA,NA,NA,NA,NA
"29",2020-04-17,"RN",24,29,NA,NA,NA,NA,NA
"30",2020-04-18,"RN",26,30,NA,NA,NA,NA,NA
"31",2020-04-19,"RN",27,31,NA,NA,NA,NA,NA
"32",2020-04-20,"RN",28,32,NA,NA,NA,NA,NA
"33",2020-04-21,"RN",29,33,NA,NA,NA,NA,NA
"34",2020-04-22,"RN",34,34,NA,NA,NA,NA,NA
"35",2020-04-23,"RN",38,35,NA,NA,NA,NA,NA
"36",2020-04-24,"RN",40,36,NA,NA,NA,NA,NA
"37",2020-04-25,"RN",44,37,NA,NA,NA,NA,NA
"38",2020-04-26,"RN",45,38,NA,NA,NA,NA,NA
"39",2020-04-27,"RN",48,39,NA,NA,NA,NA,NA
"40",2020-04-28,"RN",54,40,NA,NA,NA,NA,NA
"41",2020-04-29,"RN",56,41,NA,NA,NA,NA,NA
"42",2020-04-30,"RN",56,42,NA,NA,NA,NA,NA
"43",2020-05-01,"RN",59,43,NA,NA,NA,NA,NA
"44",2020-05-02,"RN",61,44,NA,NA,NA,NA,NA
"45",2020-05-03,"RN",62,45,NA,NA,NA,NA,NA
"46",2020-05-04,"RN",68,46,NA,NA,NA,NA,NA
"47",2020-05-05,"RN",72,47,NA,NA,NA,NA,NA
"48",2020-05-06,"RN",76,48,NA,NA,NA,NA,NA
"49",2020-05-07,"RN",81,49,NA,NA,NA,NA,NA
"50",2020-05-08,"RN",87,50,NA,NA,NA,NA,NA
"51",2020-05-10,"RN",87,51,NA,NA,NA,NA,NA
"52",2020-05-11,"RN",93,52,NA,NA,NA,NA,NA
"53",2020-05-12,"RN",105,53,NA,NA,NA,NA,NA
"54",2020-05-13,"RN",117,54,NA,NA,NA,NA,NA
"55",2020-05-14,"RN",122,55,NA,NA,NA,NA,NA
"56",2020-05-16,"RN",136,56,NA,NA,NA,NA,NA
"57",2020-05-17,"RN",139,57,NA,NA,NA,NA,NA
"58",2020-05-18,"RN",160,58,NA,NA,NA,NA,NA
"59",2020-05-19,"RN",170,59,NA,NA,NA,NA,NA
"60",2020-05-20,"RN",178,60,NA,NA,NA,NA,NA
"61",2020-05-21,"RN",181,61,NA,NA,NA,NA,NA
"62",2020-05-22,"RN",184,62,NA,NA,NA,NA,NA
"63",2020-05-24,"RN",212,63,NA,NA,NA,NA,NA
"64",2020-05-25,"RN",220,64,NA,NA,NA,NA,NA
"65",2020-05-26,"RN",242,65,NA,NA,NA,NA,NA
"66",2020-05-28,"RN",268,66,NA,NA,NA,NA,NA
"67",2020-05-29,"RN",305,67,NA,NA,NA,NA,NA
"68",2020-05-31,"RN",323,68,NA,NA,NA,NA,NA
"69",2020-06-01,"RN",341,69,NA,NA,NA,NA,NA
"70",2020-06-02,"RN",367,70,NA,NA,NA,NA,NA
"71",2020-06-03,"RN",378,71,NA,NA,NA,NA,NA
"72",2020-06-04,"RN",387,72,NA,NA,NA,NA,NA
"73",2020-06-05,"RN",410,73,NA,NA,NA,NA,NA
"74",2020-06-07,"RN",431,74,NA,NA,NA,NA,NA
"75",2020-06-08,"RN",459,75,NA,NA,NA,NA,NA
"76",2020-06-09,"RN",487,76,NA,NA,NA,NA,NA
"77",2020-06-10,"RN",496,77,NA,NA,NA,NA,NA
"78",2020-06-11,"RN",515,78,NA,NA,NA,NA,NA
"79",2020-06-12,"RN",533,79,NA,NA,NA,NA,NA
"80",2020-06-13,"RN",534,80,NA,NA,NA,NA,NA
"81",2020-06-14,"RN",553,81,NA,NA,NA,NA,NA
"82",2020-06-15,"RN",585,82,NA,NA,NA,NA,NA
"83",2020-06-16,"RN",626,83,NA,NA,NA,NA,NA
"84",2020-06-17,"RN",655,84,NA,NA,NA,NA,NA
"85",2020-06-18,"RN",693,85,NA,NA,NA,NA,NA
"86",2020-06-19,"RN",697,86,NA,NA,NA,NA,NA
"87",2020-06-20,"RN",697,87,NA,NA,NA,NA,NA
"88",2020-06-21,"RN",730,88,NA,NA,NA,NA,NA
"89",2020-06-22,"RN",750,89,NA,NA,NA,NA,NA
"90",2020-06-23,"RN",814,90,NA,NA,NA,NA,NA
"91",2020-06-24,"RN",865,91,NA,NA,NA,NA,NA
"92",2020-06-25,"RN",896,92,NA,NA,NA,NA,NA
"93",2020-06-26,"RN",909,93,NA,NA,NA,NA,NA
"94",2020-06-27,"RN",937,94,NA,NA,NA,NA,NA
"95",2020-06-28,"RN",999,95,NA,NA,NA,NA,NA
"96",2020-06-29,"RN",1039,96,NA,NA,NA,NA,NA
"97",2020-06-30,"RN",1072,97,NA,NA,NA,NA,NA
"98",2020-07-01,"RN",1108,98,NA,NA,NA,NA,NA
"99",2020-07-02,"RN",1177,99,NA,NA,NA,NA,NA
"100",2020-07-03,"RN",1205,100,NA,NA,NA,NA,NA
"101",2020-07-04,"RN",1213,101,NA,NA,NA,NA,NA
"102",2020-07-05,"RN",1254,102,NA,NA,NA,NA,NA
"103",2020-07-06,"RN",1297,103,NA,NA,NA,NA,NA
"104",2020-07-07,"RN",1332,104,NA,NA,NA,NA,NA
"105",2020-07-08,"RN",1351,105,NA,NA,NA,NA,NA
"106",2020-07-09,"RN",1362,106,NA,NA,NA,NA,NA
"107",2020-07-10,"RN",1386,107,NA,NA,NA,NA,NA
"108",2020-07-11,"RN",1394,108,NA,NA,NA,NA,NA
"109",2020-07-12,"RN",1410,109,NA,NA,NA,NA,NA
"110",2020-07-13,"RN",1449,110,NA,NA,NA,NA,NA
"111",2020-07-14,"RN",1479,111,NA,NA,NA,NA,NA
"112",2020-07-15,"RN",1507,112,NA,NA,NA,NA,NA
"113",2020-07-16,"RN",1532,113,NA,NA,NA,NA,NA
"114",2020-07-17,"RN",1577,114,NA,NA,NA,NA,NA
"115",2020-07-18,"RN",1577,115,NA,NA,NA,NA,NA
"116",2020-07-19,"RN",1590,116,NA,NA,NA,NA,NA
"117",2020-07-20,"RN",1628,117,NA,NA,NA,NA,NA
"118",2020-07-21,"RN",1642,118,NA,NA,NA,NA,NA
"119",2020-07-22,"RN",1656,119,NA,NA,NA,NA,NA
"120",2020-07-23,NA,NA,120,1678.40150610189,1664.367345692,1692.43566651177,1656.9381099373,1699.86490226648
"121",2020-07-24,NA,NA,121,1701.80785827776,1678.43788017038,1725.17783638513,1666.06656105536,1737.54915550015
"122",2020-07-25,NA,NA,122,1723.36306412915,1693.29160393248,1753.43452432582,1677.37273449075,1769.35339376755
"123",2020-07-26,NA,NA,123,1744.46109012563,1707.87686206876,1781.04531818251,1688.51034157873,1800.41183867254
"124",2020-07-27,NA,NA,124,1765.93878889089,1722.19456245209,1809.68301532969,1699.03776777187,1832.83981000991
"125",2020-07-28,NA,NA,125,1787.56917035255,1736.22393473593,1838.91440596916,1709.04340885225,1866.09493185285
"126",2020-07-29,NA,NA,126,1809.12872673461,1749.9285706551,1868.32888281413,1718.58990105288,1899.66755241635
"127",2020-07-30,NA,NA,127,1830.64398675736,1763.31561724257,1897.97235627215,1727.67413136125,1933.61384215347
"128",2020-07-31,NA,NA,128,1852.17056719227,1776.40389498918,1927.93723939536,1736.29544149384,1968.0456928907
"129",2020-08-01,NA,NA,129,1873.70889527921,1789.19968047432,1958.2181100841,1744.46320448333,2002.95458607508
"130",2020-08-02,NA,NA,130,1895.2459722006,1801.70578963842,1988.78615476278,1752.18860809737,2038.30333630383
"131",2020-08-03,NA,NA,131,1916.78014301018,1813.92874617344,2019.63153984693,1759.48250553744,2074.07778048292
"132",2020-08-04,NA,NA,132,1938.31425981325,1825.87643140508,2050.75208822141,1766.35544043772,2110.27307918877
"133",2020-08-05,NA,NA,133,1959.84905204691,1837.55566108075,2082.14244301306,1772.81745044367,2146.88065365014
